Evidence ID,Role family,Comparator title,Location,Market class,Evidence type,Seniority,Compensation type,Period,Low RWF,Midpoint RWF,High RWF,Normalized low RWF/month,Normalized midpoint RWF/month,Normalized high RWF/month,Evidence quality,Source date,Sample / scope,Source URL,Notes,Conversion basis,Money source classification,Money source status,Money source URL,Evidence grade,Evidence grade basis,Source warning
E01,Data labeling specialist / senior IC,Data Labeling Specialist – Robotics Perception,"Kigali, Rwanda",Rwanda market,Advertiser-entered job-post range,Specialist / IC,Salary expectations,month,850000,975000,1100000,850000,975000,1100000,Medium,2026-05,9 openings; no team management,https://www.rwandajob.com/job-vacancies-rwanda/data-labeling-specialist-robotics-perception-kigali-161391,Direct title match. Job-board field may reflect advertiser-entered expectations rather than audited payroll. Native RWF figure.,RWF native,Job-board expectation / direct-title comparator,"Verified: public RwandaJob page states RWF 850,000–1,100,000/month; the field is salary expectations, there is no team management, and the listing is expired.",https://www.rwandajob.com/job-vacancies-rwanda/data-labeling-specialist-robotics-perception-kigali-161391,D,Job-board expectation / historical direct-title comparator,"Salary expectations field, not audited payroll; no team management; expired 11 May 2026."
E02,Data labeling specialist / senior IC,Data Annotation,"Nairobi, Kenya",East Africa comparator,Employee-reported salary database,IC,Total pay,month,873873,1134900,1498068,873873,1134900,1498068,Medium,2025-06-27,5 salaries; source marks High Confidence,https://www.glassdoor.com/Salaries/nairobi-data-annotation-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm,Used the displayed monthly pay components/range. Small sample and page text has unit inconsistencies. Converted to RWF using 11.349 RWF/KES; reference date 2026-08-04. Source currency and original figure remain in the unmodified input file.,KES -> RWF @ 11.349 (2026-08-04),Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/nairobi-data-annotation-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm,C,Small employee-reported sample; source-page unit warning,Glassdoor displays monthly figures but the same page contains conflicting annual units; small sample.
E03,Lead / supervisor / workforce operations,Data Labeling Operations Manager,"Nairobi & Nakuru, Kenya",East Africa comparator,Employer LinkedIn posting,Manager,Stated pay,month,397215,567450,737685,397215,567450,737685,Low,2021,Expired; direct employer posting,https://ke.linkedin.com/jobs/view/data-labeling-operations-manager-at-jijenge-academy-2464511575,Old posting. Useful only as historical direct-title evidence; not a current market midpoint. Converted to RWF using 11.349 RWF/KES; reference date 2026-08-04. Source currency and original figure remain in the unmodified input file.,KES -> RWF @ 11.349 (2026-08-04),Historical employer job posting,"Verified: public LinkedIn page states 35,000–65,000 KES/month; listing is closed.",https://ke.linkedin.com/jobs/view/data-labeling-operations-manager-at-jijenge-academy-2464511575,D,Historical employer posting; expired direct-title comparator,Expired 2021 listing; useful as a historical direct-title comparator only.
E04,Technical data operations / engineering,Data Engineer,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Base / total pay,month,1900000,2000000,2100000,1900000,2000000,2100000,Low,2024-11-21,1 salary,https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm,"Very small sample. Strong title adjacency, weak statistical reliability. Native RWF figure.",RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm,C,Single employee-reported observation; source-page unit warning,"Glassdoor displays RWF 1.9–2.1M/month, but the same page contains conflicting annual units; n=1."
E05,Technical data operations / engineering,Data Engineer,"Nairobi, Kenya",East Africa comparator,Employee-reported salary database,All levels,Total pay,month,1202994,2269800,3938103,1202994,2269800,3938103,High,2025-08-17,39 salaries; Very High Confidence,https://www.glassdoor.com/Salaries/nairobi-data-engineer-salary-SRCH_IL.0%2C7_IS5301_KO8%2C21.htm?utm_source=chatgpt.com,Regional technical-data comparator; not a direct Kigali transfer. Converted to RWF using 11.349 RWF/KES; reference date 2026-08-04. Source currency and original figure remain in the unmodified input file.,KES -> RWF @ 11.349 (2026-08-04),Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/nairobi-data-engineer-salary-SRCH_IL.0%2C7_IS5301_KO8%2C21.htm?utm_source=chatgpt.com,B,39-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
E06,Engineer I / software-data engineering,Software Engineer,"Kigali, Rwanda",Rwanda market,Compensation database,All levels,Total compensation,year,14751957,16847835,46902370,1229330,1403986,3908531,Medium,2026-07-23,Sample count not displayed,https://www.levels.fyi/t/software-engineer/locations/kigali-rwa,"All-level total compensation, including possible stock/bonus; upper percentile appears highly influenced by remote/global pay. Native RWF figure.",RWF native,Compensation database,"Linked Levels.fyi location page; figure is aggregated market data, not an employer posting.",https://www.levels.fyi/t/software-engineer/locations/kigali-rwa,C,Aggregated total-compensation database; sample not displayed,"Total compensation, not base salary; upper range may reflect remote/global pay."
E07,Engineer I / software-data engineering,Software Engineer,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Total pay,month,504000,861000,3500000,504000,861000,3500000,Low,2026-08 crawl,Sample count not visible,https://www.glassdoor.com/Salaries/kigali-kigali-software-engineer-salary-SRCH_IL.0%2C13_IC3972329_KO14%2C31.htm,"Broad dispersion and large additional-pay component; use as a cross-check, not a single anchor. Native RWF figure.",RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-kigali-software-engineer-salary-SRCH_IL.0%2C13_IC3972329_KO14%2C31.htm,C,Small employee-reported sample,
E08,Engineer I / software-data engineering,Senior Software Engineer / Team Lead,Kigali / Remote,Rwanda market,Advertiser-entered job-post range,5+ years / lead,Salary expectations,month,2100000,2650000,3200000,2100000,2650000,3200000,Medium,2026-06,25 positions; team management,https://www.rwandajob.com/job-vacancies-rwanda/senior-software-engineer-kigali-163252,Comparable leadership/engineering scope; anonymous/aggregated employer information. Native RWF figure.,RWF native,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,https://www.rwandajob.com/job-vacancies-rwanda/senior-software-engineer-kigali-163252,D,Advertiser-entered job-board range,
E09,Technical operations / infrastructure,NOC Engineer,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Total pay,month,1300000,1600000,1800000,1300000,1600000,1800000,Low,2026-08 crawl,2 company results,https://www.glassdoor.com/Salaries/kigali-noc-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C19.htm,Small sample; additional pay dominates the displayed total. Native RWF figure.,RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-noc-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C19.htm,C,Small employee-reported sample,
E10,Technical support / implementation,Software Support Engineer,"Kigali, Rwanda",Rwanda market,Employee-reported salary database,All levels,Total pay,year,8318608,8609331,8900054,693217,717444,741671,Low,2024-11-14,1 salary,https://www.glassdoor.com/Salaries/kigali-software-support-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C32.htm,Useful entry/technical-support comparator only. Native RWF figure.,RWF native,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",https://www.glassdoor.com/Salaries/kigali-software-support-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C32.htm,C,Small employee-reported sample,
