Evidence ID,Comparator title,Location,Period,RWF low,RWF high,Money source classification,Money source status,Verification label,Money source URL,Evidence grade,Evidence grade basis,Source warning
E01,Data Labeling Specialist – Robotics Perception,"Kigali, Rwanda",month,850000,1100000,Job-board expectation / direct-title comparator,"Verified: public RwandaJob page states RWF 850,000–1,100,000/month; the field is salary expectations, there is no team management, and the listing is expired.",Verified numeric expectation; expired direct-title evidence,https://www.rwandajob.com/job-vacancies-rwanda/data-labeling-specialist-robotics-perception-kigali-161391,D,Job-board expectation / historical direct-title comparator,"Salary expectations field, not audited payroll; no team management; expired 11 May 2026."
E02,Data Annotation,"Nairobi, Kenya",month,873873,1498068,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/nairobi-data-annotation-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm,C,Small employee-reported sample; source-page unit warning,Glassdoor displays monthly figures but the same page contains conflicting annual units; small sample.
E03,Data Labeling Operations Manager,"Nairobi & Nakuru, Kenya",month,397215,737685,Historical employer job posting,"Verified: public LinkedIn page states 35,000–65,000 KES/month; listing is closed.",Verified numeric pay; historical,https://ke.linkedin.com/jobs/view/data-labeling-operations-manager-at-jijenge-academy-2464511575,D,Historical employer posting; expired direct-title comparator,Expired 2021 listing; useful as a historical direct-title comparator only.
E04,Data Engineer,"Kigali, Rwanda",month,1900000,2100000,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm,C,Single employee-reported observation; source-page unit warning,"Glassdoor displays RWF 1.9–2.1M/month, but the same page contains conflicting annual units; n=1."
E05,Data Engineer,"Nairobi, Kenya",month,1202994,3938103,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/nairobi-data-engineer-salary-SRCH_IL.0%2C7_IS5301_KO8%2C21.htm?utm_source=chatgpt.com,B,39-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
E06,Software Engineer,"Kigali, Rwanda",year,14751957,46902370,Compensation database,"Linked Levels.fyi location page; figure is aggregated market data, not an employer posting.",Verified link; aggregated database,https://www.levels.fyi/t/software-engineer/locations/kigali-rwa,C,Aggregated total-compensation database; sample not displayed,"Total compensation, not base salary; upper range may reflect remote/global pay."
E07,Software Engineer,"Kigali, Rwanda",month,504000,3500000,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-kigali-software-engineer-salary-SRCH_IL.0%2C13_IC3972329_KO14%2C31.htm,C,Small employee-reported sample,
E08,Senior Software Engineer / Team Lead,Kigali / Remote,month,2100000,3200000,Advertiser-entered job-board range,Linked RwandaJob posting; numeric field is advertiser-entered and not an audited payroll record.,Verified link; advertiser-entered posting,https://www.rwandajob.com/job-vacancies-rwanda/senior-software-engineer-kigali-163252,D,Advertiser-entered job-board range,
E09,NOC Engineer,"Kigali, Rwanda",month,1300000,1800000,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-noc-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C19.htm,C,Small employee-reported sample,
E10,Software Support Engineer,"Kigali, Rwanda",year,8318608,8900054,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-software-support-engineer-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C32.htm,C,Small employee-reported sample,
E11,Technician Operator (UAV),"Kigali, Rwanda",month,500000,700000,Job-board range,Linked RwandaJob posting; numeric field is a job-board figure and not an audited payroll record.,Verified link; job-board posting,https://www.rwandajob.com/job-vacancies-rwanda/technician-operator-nyarugenge-umujyi-wa-kigali-rwanda-141441,D,Job-board range,
E12,Operations Manager,"Kigali, Rwanda",month,437000,2400000,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/kigali-operations-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C25.htm,C,Small employee-reported sample,
E13,Operations Manager,"Nairobi, Kenya",month,964665,3790566,Employee-reported salary database,"Linked source page; figure is employee-reported, not employer-published.",Verified link; database evidence,https://www.glassdoor.com/Salaries/nairobi-operations-manager-salary-SRCH_IL.0%2C7_IM1085_KO8%2C26_IP4.htm?utm_source=chatgpt.com,B,152-salary employee-reported sample,Nairobi comparator; original KES values remain visible and are not a Kigali salary claim.
